refDes,week,pct_science
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-06,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-13,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-20,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-27,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-03,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-10,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-17,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-24,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-01,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-08,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-15,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-22,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-29,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-05,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-12,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-19,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-26,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-02,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-09,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-16,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-23,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-02,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-09,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-16,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-23,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-30,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-06,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-13,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-20,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-27,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-04,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-11,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-18,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-25,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-01,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-22,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-29,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-10-06,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-10-13,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-10-20,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-10-27,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-11-03,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-11-10,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-11-17,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-11-24,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2025-12-01,99.9
CE02SHBP-LJ01D-07-VEL3DC108,2025-10-06,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-10-13,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-10-20,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-10-27,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-11-03,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-11-10,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-11-17,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-11-24,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-12-01,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-12-08,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-12-15,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-12-22,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2025-12-29,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-01-05,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-01-12,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-01-19,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-01-26,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-02-02,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-02-09,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-02-16,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-02-23,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-03-02,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-03-09,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-03-16,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-03-23,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-03-30,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-06,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-13,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-20,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-27,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-04,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-11,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-18,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-25,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-01,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-08,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-15,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-22,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-29,87.5
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-06,94.6
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-13,83.4
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-20,85.3
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-27,93.4
CE02SHBP-LJ01D-08-OPTAAD106,2025-11-03,88.9
CE02SHBP-LJ01D-08-OPTAAD106,2025-11-10,96.2
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-06,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-13,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-20,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-27,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-03,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-10,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-17,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-24,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-01,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-08,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-15,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-22,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-29,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-05,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-12,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-19,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-26,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-02,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-09,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-16,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-23,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-02,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-09,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-16,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-23,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-30,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-06,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-13,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-20,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-27,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-04,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-11,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-18,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-25,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-01,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-08,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-15,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-22,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-29,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-06,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-13,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-20,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-27,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-03,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-10,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-17,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-24,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-01,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-08,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-15,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-22,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-29,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-05,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-12,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-19,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-26,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-02,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-09,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-16,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-23,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-02,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-09,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-16,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-23,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-30,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-06,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-13,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-20,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-27,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-04,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-11,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-18,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-25,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-01,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-06,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-13,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-20,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-27,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-03,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-10,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-17,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-24,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-01,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-08,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-15,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-22,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-29,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-05,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-12,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-19,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-26,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-02,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-09,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-16,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-23,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-02,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-09,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-16,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-23,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-30,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-06,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-13,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-20,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-27,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-04,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-11,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-18,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-25,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-01,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-08,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-15,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-22,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-29,100.0
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-22,97.0
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-29,96.7
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-06,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-13,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-20,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-27,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-03,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-10,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-17,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-24,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-01,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-08,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-15,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-22,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-29,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-05,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-12,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-19,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-26,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-02,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-09,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-16,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-23,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-02,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-09,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-16,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-23,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-30,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-06,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-13,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-20,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-27,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-05-04,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-05-11,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-05-18,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-05-25,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-01,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-08,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-15,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-22,100.0
CE04OSBP-LJ01C-10-PHSEND107,2025-10-06,93.5
CE04OSBP-LJ01C-10-PHSEND107,2025-10-13,95.8
CE04OSBP-LJ01C-10-PHSEND107,2025-10-20,93.5
CE04OSBP-LJ01C-10-PHSEND107,2025-10-27,92.3
CE04OSBP-LJ01C-10-PHSEND107,2025-11-03,93.5
CE04OSBP-LJ01C-10-PHSEND107,2025-11-10,95.2
CE04OSBP-LJ01C-10-PHSEND107,2025-11-17,95.8
CE04OSBP-LJ01C-10-PHSEND107,2025-11-24,92.9
CE04OSBP-LJ01C-10-PHSEND107,2025-12-01,92.3
CE04OSBP-LJ01C-10-PHSEND107,2025-12-08,94.6
CE04OSBP-LJ01C-10-PHSEND107,2025-12-15,89.3
CE04OSBP-LJ01C-10-PHSEND107,2025-12-22,86.9
CE04OSBP-LJ01C-10-PHSEND107,2025-12-29,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-01-05,95.8
CE04OSBP-LJ01C-10-PHSEND107,2026-01-12,94.6
CE04OSBP-LJ01C-10-PHSEND107,2026-01-19,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-01-26,90.5
CE04OSBP-LJ01C-10-PHSEND107,2026-02-02,96.4
CE04OSBP-LJ01C-10-PHSEND107,2026-02-09,95.8
CE04OSBP-LJ01C-10-PHSEND107,2026-02-16,90.5
CE04OSBP-LJ01C-10-PHSEND107,2026-02-23,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-03-02,92.9
CE04OSBP-LJ01C-10-PHSEND107,2026-03-09,94.6
CE04OSBP-LJ01C-10-PHSEND107,2026-03-16,95.8
CE04OSBP-LJ01C-10-PHSEND107,2026-03-23,95.2
CE04OSBP-LJ01C-10-PHSEND107,2026-03-30,93.5
CE04OSBP-LJ01C-10-PHSEND107,2026-04-06,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-04-13,92.9
CE04OSBP-LJ01C-10-PHSEND107,2026-04-20,94.6
CE04OSBP-LJ01C-10-PHSEND107,2026-04-27,96.4
CE04OSBP-LJ01C-10-PHSEND107,2026-05-04,89.9
CE04OSBP-LJ01C-10-PHSEND107,2026-05-11,93.9
CE04OSBP-LJ01C-10-PHSEND107,2026-05-18,94.6
CE04OSBP-LJ01C-10-PHSEND107,2026-05-25,88.7
CE04OSBP-LJ01C-10-PHSEND107,2026-06-01,95.8
CE04OSBP-LJ01C-10-PHSEND107,2026-06-08,92.3
CE04OSBP-LJ01C-10-PHSEND107,2026-06-15,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-06-22,92.3
CE04OSPS-PC01B-4A-CTDPFA109,2025-10-06,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-10-13,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-10-20,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-10-27,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-11-03,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-11-10,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-11-17,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-11-24,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-12-01,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-12-08,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-12-15,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-12-22,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2025-12-29,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-01-05,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-01-12,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-01-19,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-01-26,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-02-02,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-02-09,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-02-16,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-02-23,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-03-02,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-03-09,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-03-16,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-03-23,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-03-30,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-04-06,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-04-13,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-04-20,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-04-27,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-05-04,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-05-11,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-05-18,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-05-25,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-06-01,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-06-08,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-06-15,100.0
CE04OSPS-PC01B-4A-CTDPFA109,2026-06-22,100.0
CE04OSPS-PC01B-4B-PHSENA106,2025-10-06,100.0
CE04OSPS-PC01B-4B-PHSENA106,2025-10-13,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-10-06,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-10-13,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-10-20,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-10-27,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-11-03,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-11-10,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-11-17,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-11-24,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-12-01,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-12-08,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-12-15,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-12-22,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2025-12-29,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2026-01-05,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2026-01-12,100.0
CE04OSPS-PC01B-4D-PCO2WA105,2026-01-19,100.0
